DamFunctTbl_multiplier,ShipTbl1,ShipTbl2,ShipTbl3,climate scenarios,collaboration,fragility dikes,land use scenarios,model,policy,Flood damage (Milj. Euro),Number of casualties,Costs
0.056655789,0.004216951,-0.086614285,-0.091156437,7,1.081548334,-0.014344401,urbanizationLargeSteady,waasmodel,RfR Small Scale,18565,799.161,70
0.020077215,0.003957131,0.048613623,-0.041740859,5,1.533112882,-0.017529976,sustainableGrowth,waasmodel,RfR Small Scale,14675,436.946,70
0.008528754,-0.088594551,0.00270733,0.044687878,24,1.425717116,0.055518443,urbanizationLargeSteady,waasmodel,RfR Small Scale,49889,780.77361,70
-0.040096635,0.06368553,0.085165502,-0.067513385,14,1.282260588,0.05034003,NoChange,waasmodel,RfR Small Scale,21580,690.35022,70
-0.047146446,0.014961159,-0.045217694,0.023572418,21,1.338506955,-0.009805592,moreNature,waasmodel,RfR Small Scale,24636,615.35511,70
-0.095300318,-0.054322456,0.025731313,0.095054199,13,1.158842029,0.067458035,sustainableGrowth,waasmodel,RfR Small Scale,29132,1240.859,70
-0.070368739,-0.077769893,0.022729602,-0.034750446,27,1.156507556,0.061825354,NoChange,waasmodel,RfR Small Scale,26432,593.94637,70
0.043550222,-0.054439945,0.072462259,0.045538966,4,1.445258812,-0.00696589,Deurbanization,waasmodel,RfR Small Scale,14755,521.68538,70
0.037318749,0.02125613,0.083927335,-0.024072038,12,1.293940204,-0.063714662,urbanizationLargeAndFast,waasmodel,RfR Small Scale,33167,971.4836,70
0.05298262,-0.096346878,0.023781533,0.007137251,23,1.436163857,0.01381637,sustainableGrowth,waasmodel,RfR Small Scale,53878,1215.3698,70
-0.015806778,-0.066356103,0.050750643,-0.091276279,10,1.500269599,0.061216465,sustainableGrowth,waasmodel,RfR Small Scale,15103,766.3498,70
0.03650837,0.091095004,0.088977051,0.068921009,2,1.595400345,0.030808229,Deurbanization,waasmodel,RfR Small Scale,14001,227.82756,70
0.014542322,0.029289105,-0.062844362,0.020997773,2,1.055306994,-0.008481488,Deurbanization,waasmodel,RfR Small Scale,13941,227.82391,70
-0.062435729,0.044597137,0.090903715,-0.010420983,17,1.506837839,-0.044007272,moreNature,waasmodel,RfR Small Scale,16218,416.7989,70
0.03594697,-0.024466043,0.074568283,-0.071287391,26,1.430097722,-0.041009054,urbanizationLargeAndFast,waasmodel,RfR Small Scale,50492,1080.892,70
-0.071028338,-0.052074965,-0.094523053,-0.063581608,10,1.571005205,-0.058450327,urbanizationLargeSteady,waasmodel,RfR Small Scale,10904,551.8127,70
0.082234821,-0.01872653,-0.049346381,0.053479533,4,1.017176588,-0.082312792,urbanizationDeurbanization,waasmodel,RfR Small Scale,22822,1185.9625,70
-0.090315056,0.074597475,-0.037879872,0.008473048,25,1.538189884,-0.044569347,NoChange,waasmodel,RfR Small Scale,19212,444.15578,70
-0.012351644,-0.060874797,-0.071945074,-0.057541802,15,1.377516531,0.066297715,urbanizationDeurbanization,waasmodel,RfR Small Scale,22091,747.7034,70
-0.050829588,-0.069119456,0.037111213,-0.052012127,17,1.487973869,0.037798056,urbanizationDeurbanization,waasmodel,RfR Small Scale,25587,676.9532,70
